Policy_ID,Policy_Text_EN,Policy_Text_FR,Policy_Text_ES,Summarized_Text
7d5bd98e-c473-4ca9-9b32-b878ffd55781,must safe as recent develop yeah recognize free bill site ever area occur conference commercial teacher couple what become exactly dark control up possible none however nation action ever brother rule key speech much training these build radio law indeed born will quite bar civil city company institution film agent war game color your rather agency expert effect need cover movement,quality send by prove which institution affect white mother imagine peace charge necessary another everything responsibility move bar career so business head career firm environmental let beat place always argue continue particular event yeah what race her information city environment make just remain director reveal bit into case like especially table share see hotel large professor forget culture open time computer rest,structure child tend best voice could option necessary decision identify relate strategy heart probably exactly per while value simple beautiful center everybody go for fight visit crime beautiful despite recent big fire simple environmental standard like page role require any decide enter economic catch student head certain help evening record evidence international those view dinner doctor picture fish however half wide theory president several maintain fire skin,act nature career scientist serve history operation take under technology
216974b4-f643-44a6-8302-d258d2bf08dc,of everything however front sport head effect sea them cell state executive particularly friend mission land out daughter food national whom threat perhaps civil visit ahead dream never audience manager movement magazine crime able already guess somebody conference knowledge way almost against thing sure speak soldier long story any call after recently about child now beyond international course another visit continue republican health home reach present then blue reality law,matter media without throughout operation major decade place happen however reality protect kind issue road guy level ready turn arm else red soon natural financial ask contain likely tv fill state seven buy military significant five must yard take wear skill produce see president size effort some near base involve half former response time still a edge action discussion benefit science whatever,region history physical institution successful skill democrat social either determine ask figure doctor hospital too best child professor nothing forward state win hair hold fire when go tax cultural similar goal be fear seven respond then thought president control state small according chance open rule from when foot economy simply movement daughter win less plan thought rock follow admit of child life right color,possible while build order base about describe stand somebody its past state car middle public
e8bd28ee-414c-4d71-bbf0-e7c17f028d9a,again middle goal nothing miss lot loss wife positive product international girl morning single treatment paper the recent president former its everybody deep reach decision clear next draw let training coach city mean check let administration cost friend skin only computer you finish director allow series clear think real trip black realize discussion focus interest necessary force organization space sport trial statement population see agency west value yourself,agree maintain account what sometimes congress woman mention control condition baby computer professional strategy something physical while return industry admit film over like us system challenge ever usually set summer tv marriage who seven language since hand risk yes big family success arm without science table yes practice face age build develop century key collection total me risk hospital herself series figure item,not true safe big exist mr long pressure herself on per impact positive kind police hotel wear would drop avoid crime sign trip expert while oil add unit act travel seem approach lose mind give much radio office certainly garden suffer travel question official owner center young defense explain glass animal hand director maintain table both week director generation member idea under rich standard side garden everything especially raise dream position necessary could down day,traditional around suggest people door artist black chair wear note question word group culture
82ee72d0-003d-47c2-b266-1674c84da738,race remember wrong its make similar deal skill kid police continue whether service send page standard rate commercial structure house energy war live prevent section process hand people get store example stand third spring whatever box relationship serious new goal marriage figure indeed simple walk reason power last technology policy of weight anything again pattern indeed good reduce face none interview born,staff sea author guess center nation wish strategy little read ago possible media far edge life tv example go adult political at improve toward operation sell keep identify necessary nice report find business research easy from success later arrive i issue fear every sense career our fly money easy down seat herself dog discuss most his today describe always though thus gas bag suffer whether impact occur already court,spring natural quickly set cell yourself manager system us middle professor explain rock teacher not worry but state final most their answer support smile mind modern man create establish land instead mean than leave safe good at herself discuss third shoulder tough sing hope happen interview fine how matter test several for yeah whom cost exist run power remember rule believe term main energy then value source send able but meeting political off control,source however idea entire pretty six though team citizen work they hold compare relate resource
aaedba13-d28d-4f9b-a576-c1e1e37ee720,create less word page particularly later production lead technology at determine deal improve when young city remember exist story other line life fast arm range get public human mind big win sound style property western field morning spring trouble pretty station evening security special cell for tough system phone leader foot force candidate quality politics head sport feeling teach vote week professional night minute,situation especially me really low future seat hundred once exactly catch nor new rock give wait for these look her result star health important bar enter any card consumer focus real language certain himself as draw nor each fact foreign song fire scene unit share lawyer under seat identify day myself can only surface bill from group property federal debate management increase experience everybody ability while even resource easy million recognize,station scene expect throughout say argue suddenly pull project throw for trouble fish understand woman white network would dark ten goal our store degree either much effect capital question work soldier hope off kitchen east her almost effort risk around car many father space whose door successful we enough three work body else bad true mean already action american else explain pm difference moment manager teach vote avoid popular now life authority truth,beat hospital group avoid reason performance program pressure close
16bd1727-3a35-465a-9390-d5b89faac05d,natural buy adult street late end wrong number gun protect occur open hold score relationship husband simply important before as contain herself hope without happy appear wonder deep add maintain short main community whose group foreign write check item choose something how thank think strong station tough after laugh hospital maybe short economic military effect lead policy outside key as amount field myself true tonight,nice record same join inside exactly around century step leader trade spend suffer money plant sport between under still list fund daughter trade everybody character environmental skin commercial coach economic financial word check wife speech last site skill short at list property where operation thing board present low compare stage study because newspaper still thing better skin everybody forward how mouth civil process example,opportunity team themselves serve suggest successful particularly save you trial full enjoy me mind scientist thousand information message question cut whatever tree from provide visit now nearly fill now film message may gun few ever total possible author marriage move they actually chair young local you action town represent social enjoy lay trade fight hear whole play fish pull system personal maybe investment picture list lead style,without deal nature her us moment threat high eat front book cover will
712fae6e-cbbf-42f9-81e6-79e02d8b0b4e,central film whatever parent situation situation film region line although return ahead big before concern attack continue work take this travel whom also least continue main forward morning red low civil society popular and material move poor religious however coach stock american allow we hospital any the amount order financial big nothing language front technology key mission thousand i old,fight role yes and order best case beat take everybody yes party heavy parent argue remain leg various assume sound manage seven attack appear director public crime today able traditional local something financial material physical possible throw sometimes lead hear know east husband agent always rich man white such position green tend art firm rich our opportunity point structure morning show owner including number window meet third way thousand edge support really,hear decision issue remember yourself oil work improve from type security adult wonder turn court rate check education well leader rule production under government meet factor type less name health home weight name teacher church forget certain north mrs discuss lawyer not situation receive fish now term him know worry very we fish teach sound all require effect central same trouble start practice instead there,part board hospital form miss current old item serious agree middle others expert treatment wife
ddb17034-5b8c-4f02-bf82-19588d1aea35,may southern later when person your thank everyone though amount cup window second nothing certainly structure first break life join crime anything image card newspaper congress state alone rest people maybe show best own enjoy pretty television can kitchen put game page everything safe herself professional under might most thousand fill term work training miss since training certain authority knowledge meet possible chance quite special must town teach into,reach cut citizen improve whether hit concern later beautiful nearly mind minute during area my return recently control risk before agree produce seven tree give scientist mouth party value career man choose look foreign among trip order bill weight build enough word affect than trial financial bed blue night training almost plant word rather first budget oil challenge form then enough force require play voice,left because week learn development adult company among plan identify career from bill customer ready similar laugh later single some product including central require prepare range movement have realize perhaps support simply focus much identify easy attorney long less throughout these fear entire to world return professional popular rather week campaign recent fast gun trip republican because because less difficult your,listen show personal daughter option season bill identify yet your
dda125c2-750e-416c-8a5c-beae26eaa1f5,no land bank system where nature even rock effect change father say particular kind age face store husband player your letter road never section expect place yeah now under enjoy yard up challenge seven be billion movement according school stay create feeling dream six federal size must tv officer truth around head decision maybe may although just each like nation behind wait,take something mission offer ability continue the military attorney need write value concern receive prepare under effect respond well call build child effect eye maintain mention drive specific policy cell compare agent up traditional shoulder contain quite sort big exactly security series stop require much financial one police form question performance role see thing,house land foreign stage actually certain need home owner fund wonder certainly treatment wind cut fall offer if throw purpose include crime blue through popular large treat alone visit together design form special economy contain which east remain hour alone serious career chance will popular difference tonight know weight house purpose yet onto vote score set relate he until,surface assume our itself seem wait simple lose generation west goal center
9262a407-1b37-4797-bbbb-be2213bccf7b,data fine carry term than hear drop look agreement seem industry form expect you sound girl give of sit free start catch method argue sister mrs clear offer through then blood program defense american concern physical explain study light husband human science international forget improve always realize piece its member serve real positive none picture hour center stuff me support,bring receive doctor him minute newspaper long condition for key property clearly decision laugh court still once chair share its physical lay common major when choice suffer billion middle strong local our natural husband parent effort oil suffer range all election force read part may ten plant book address shoulder if pattern result degree on minute interview note onto shoulder again better understand place change despite herself fact,daughter hospital look student what throughout and record think fund approach book serve other face vote she dinner bar wonder american animal tv example because while home green hit large turn even from adult weight relate eight north study discussion still successful animal nice fear make explain tonight general share avoid bed any dog usually be present their sell low either area born phone of fine her success last note ask every last off unit if tell goal,sound father simply body president throughout camera difference above report
3132e817-3099-4b96-95f1-70b47ac81de6,lot field few see white drug say poor head require near maintain wind clear recognize other artist car surface lot manager six method pay who laugh protect charge man protect certainly read ability rock peace artist wind standard event fall bank school response just plan paper everything process station responsibility left decision piece until cup store car,break opportunity herself security mother reveal society expect third experience tough play data he follow picture kind staff might high him process data miss edge thought it executive this between western into such appear peace authority cut deal white staff at mission do free interest around will heavy television her able sing we newspaper house should story himself move parent table instead second because although increase hour arrive movie state than provide,science five rule avoid risk experience it whom blue describe brother expert benefit work hear responsibility hair she hard opportunity bar tax at skin upon republican red ask operation grow future church eight common traditional party next political drug science industry third structure nation hand thus sell boy me often try skill provide everything me thought war in entire several north watch something near only oil kitchen culture year education explain hour know,enjoy training practice more i end shoulder card which certain house sense from
59282d9d-88fc-4dac-bbba-2cdb56a0c9ac,voice performance situation thus perhaps father building service ten call suffer mother dog clear voice different fear without yard person man various fall detail scientist or act start system before side know him to help blue deep reflect become range car anything condition throughout policy argue activity especially thank reason certainly president stock receive least soldier animal affect whole exist billion available,improve beat long finally seat gas of water source maybe beat all half reality what art score discussion age would center site relate key chair more drop teach give item water guess score people paper society argue manager music hospital reach event case together star direction hold party outside anything opportunity skill analysis professional dinner hundred animal one senior project check simple reflect nation thought,language possible reflect knowledge movie if short ball religious shake that avoid style another any treatment maintain fall blue why election manager environmental forget despite back we white act indeed who parent focus there reflect important space weight benefit purpose through drive add federal seven weight effect stop star admit stand voice such notice case law kid again total attorney enter one oil lot special check response group upon why wife daughter mind instead,likely sea save tend quite study among become teach draw conference
70310cba-6e95-4da7-ae69-43fa259b3fa1,bit policy sure account maybe home outside color the job nice policy guess record identify cut million successful chair action eye way development animal finally tax type mission measure may lose really administration build last something again take trouble social catch partner nor while quickly here one meeting service finish perhaps thus stop factor prove pass owner difficult seven court risk,generation difference heavy according end drive language explain art contain pressure central make third business five order eye after child simply suffer pressure production thus arm three scene every employee support very particular range morning account bill attack only mouth deep someone budget benefit me area at result military but particularly,two approach social report western better already final unit hear american sell break light clear knowledge stand fine run moment back something evening live agree production officer choice network music card place from water deal from later staff attorney oil some need bit bar nation ready subject beat eat catch machine police today move force interesting address senior radio finish save do level lay choose finally level southern change face course south,learn money candidate parent newspaper trial lot security appear thus partner
aafc5e59-114c-4a1d-b93b-dd54ad99ca59,run today everyone near single school mean pressure suggest section computer total guy difference easy matter his concern movement small performance result chance skill argue nature offer add follow show pressure baby teacher agency either picture include chance school interesting second that laugh station establish choice new nearly from understand on many represent whole up develop true any current clear last claim campaign most water american discuss case than church what show,land on use cover effect manage forward hope great page official which sound style huge resource degree yourself threat important recognize station read sometimes enter ask wrong thousand up yes situation black thank song item group market seem when small serve three democratic amount until information she say painting member there physical realize glass board card right remember think speak short little land on especially wait grow serious or,something oil training change after right those up simple then live physical deep small choose worry piece strategy movie clearly program page it south grow state probably brother set hard way rich more three government pull career painting they lay everybody security program often improve region age dog attack surface military win employee perhaps thank raise hard he relate project happen east,summer consumer a possible to figure each a vote feeling bit
9b042fce-3291-4432-9268-b6ae34e227e5,entire join animal energy carry agree each trade why office scientist professor visit art program energy fund number team toward politics certainly area you prove left turn side shoulder available possible away just strategy dream mouth top total billion radio recent final cup around join onto growth bill grow shake health order south hard machine act hospital future,toward clearly science country amount owner front form economy claim drop thought alone college same thought enter rise sing painting everybody future image individual high claim indicate administration argue how kitchen second professional small agreement current administration seat bad seven near poor economy program head require through pull spring whole wall song these power if you enough artist real what attention people,better other last teacher make tonight center series need detail character room thus arrive thousand newspaper too large total sea economic trade glass keep reach manage when floor figure among see term foreign work stay model according seven speech him republican agency decision building lawyer event budget law run plant television nearly hotel score family,have hour democrat red
4c0130c5-e111-442d-9eb1-3854dc2ab43b,national guess difficult firm relationship toward a event bed across discuss sort many feeling manage behind sort structure though suddenly his state network yourself partner challenge election control of quickly kitchen subject true feel only soldier bed effect test address oil hundred form peace professor stage role out race american investment marriage something,return big also heavy newspaper able suggest very represent film us front guess girl network under question me economy shake guess speech choose care training party life perhaps produce live ground treat bag tell always share certain order him player these middle rich live hope degree any company never recent unit buy test cold among hospital her baby indicate water myself development population trade hear add then so research who yard expert him these,machine task sister turn factor everyone responsibility likely southern sort quality figure parent quality why make soon response yourself need check six try rule include figure leg agreement visit sort letter little occur front instead major this just drive wear challenge summer cost throughout visit forget message pick deep enter image on begin pass whatever development food hand under agency up next possible poor interest trade us service interest character only daughter,describe hard accept represent
c1968acf-a938-48a7-9d72-d2922924ac76,themselves just they animal five cut vote set box goal for fish parent recent college police great indicate others trial and daughter fight stand accept long stand push road table run listen executive staff culture test person mission company condition of close behavior outside will increase before bank sit begin mind military lose way above easy worker treatment from sport choose above draw to sense,public we night yard ever ability policy six last child imagine government baby air health responsibility break agent room order represent pick miss so like task goal may beat difficult its choose politics relate call like bad person mission likely guess value message until morning to smile person skin bag hard human wife wrong term head congress whatever available very individual administration,mouth far foot class born tree country really heavy once republican compare responsibility base explain before administration within true debate talk laugh wide particularly strong popular bank pressure thank follow power her when coach of open couple up week through bit specific possible enough under information more citizen cover history itself vote new against spend night hope they accept later natural run six financial year light price field let stage eight health,establish then whom rock perform across other
c665553f-1b3b-4396-9b53-4114ee6de04c,nearly great well sit former water chance really cover eight near because reality policy child author first wall choose daughter throughout administration about word down protect cell adult mouth nothing minute allow sometimes popular detail end under spring total modern small moment real trade news technology edge simply suffer require too simply coach indeed training box democratic usually glass view yes phone dark address arm guy month appear theory indeed scene,indeed practice road imagine newspaper win involve government create mean use forward my interesting need role decision impact bad important use either break explain beyond town these nor management outside company short chance several movement media school artist take reach hear tree image left imagine dream business mr learn call site author among late idea close few play under analysis course enjoy good newspaper i many quickly allow officer edge north,face fast least million adult after purpose region maintain up her suddenly reduce themselves lose week argue drive bag probably career serve two explain field better daughter theory walk half shoulder cut agree range hotel stand situation high several born red table son fear less single get production own lay community a benefit mr kid loss and inside green world tend put test technology administration each present environment become example garden commercial too instead create,home born likely when include else thing without quality
a9b077bb-c9bb-4335-8048-3c38973ffcaa,now mr cover still per several although wrong his group wife go method stock value administration moment everyone give be concern enjoy social parent stop movie challenge animal treat star trade country hotel especially so prove of task maintain turn economy election play arrive bring note seven draw page number fall spring fish long energy skill camera man real important performance all hold single hear information paper rule ten management current suffer process fine,wife enough whether democratic piece either beyond remain soon right others same wide indeed approach own machine these generation picture wall professor information have real type join anything service heavy bad guy ahead whole half begin foot the whole buy industry air about where law subject chance investment involve story chair street purpose if let whether both behavior table condition such parent day assume arm,by several phone relationship center almost recognize significant prove nothing artist seven trial research information job computer general very push speak ready lot poor despite cup year sound where purpose door pick realize could relationship southern grow window rock strategy practice leave rock mean young she or life course inside million short why,feel reflect foreign fire land wife yard kitchen
1138b0b3-964b-48f2-b3b6-c515be316656,interest piece when image threat official rest raise pressure western high home operation above church check around me worry determine she school eight building team car source four section it common line property design interview there film television drop it war read child single person reality difficult which should keep still bank go majority whom without generation set mention thank day huge number father himself federal high box industry recently like,situation finally seat entire entire dark skin worry draw gun he picture itself time security front be into more occur investment crime term environmental candidate day ten tonight college possible operation night evening go control make drive animal produce notice year off major market shake hot near under training foot benefit such cut effect hundred professor soldier become effect space player another lose here budget owner foot,effect thought research contain nearly act high step hold another hotel leg least present matter night provide ground team size vote police increase position find country south anyone among feel information finally fast total section several son season kitchen ahead executive ask fly social member organization forget if build certainly also perform coach put page officer political on go pattern during international this certain,name four theory marriage above perform hour order daughter friend ahead number wrong
030737b7-8224-4b5f-acb9-328cf18879db,computer example physical power cover trouble man avoid culture institution body interesting quickly traditional wind street force design suffer move yes direction quickly happy bring character smile never newspaper feel would house instead camera want economic identify program cup both project kitchen free few author position short gas talk find message tell low truth create mean admit government community quickly police might available nice campaign own past,star network party hospital get prevent might current catch war design trip process would wish blue several human law you fact economic someone you answer school minute sport number have on future child for us us walk either various report have account never office five item thank also building per thing listen establish see lose nor degree determine about and determine loss even school base option religious maybe media bag blood conference attention,she nothing off sport better vote ground really face you apply she probably choose question arrive leg worker father knowledge game region alone future present south parent result return analysis else animal down left lay man especially thing scene issue almost beat pass language point worker any agree nice white ahead around summer could baby then box process attention beat summer garden bad take box mind grow company leg particularly push,some interesting floor break yourself important and open tend stand goal quality
48c77600-3f7a-4a8b-a136-4bb186473efd,floor away guy develop woman during new bad change note vote we it everyone describe improve term during prove benefit reduce project partner attention federal without control though responsibility cut customer particularly actually themselves about six eat hair case side clear edge role recent general never quite executive matter art usually upon anything expect affect common natural song father hospital plant past quickly score others detail,south officer long already ball own know majority have instead sign pick process dream when nearly specific civil politics first street get imagine ask point attack rock those material resource recent cut able determine career movie form yes she maybe policy method address turn garden against model my method you cover keep agent fast american over recently up this agreement debate on all require,show dog would wait investment participant under director least word now church political chance fast future pick edge base picture value cut use owner hotel science trial thus that trade perform threat writer modern fly high else blue political clear per create baby mind change with whether because with local expect factor fight sport decade particularly believe follow almost standard develop report not within upon now knowledge suddenly perform music meet good once,share white food gas might explain reach series cup check
123a0bd4-c87f-4881-8b23-593ccfcb22ab,because happen remember important positive civil boy mother agency fish interview practice respond old water field arrive often situation not surface choice recent kid site if away return democratic out his chance sell carry seem old pretty majority citizen according number choice value result mission involve other change nearly morning key short class country by wear line early hour stand would play treat,price guy republican court live those sing create enter social ready success federal remember hit above including drug talk represent design expect story mother production technology will property end five brother join draw seek officer check stand teacher present design none somebody eat evening forget every manager few board oil material box skill quality ground civil these room movement sign media policy party rule garden concern,build out score certainly something allow a feel discover off office this couple he food traditional seven continue politics ahead often most outside far his surface common young read tv owner measure notice fish model learn without other development certain chair positive around real act interesting everybody table box center chair process general less natural yes same arm unit prove financial as dog then democrat become cut president your product peace reach can be term,image hotel south indicate art room exactly wall hotel
