Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
064b1160-9b5a-4086-906c-98ef4202b6e0,29,Other,Property,116186.11,1,1,950.37,2990.95,Low
7062abd8-0c76-4484-b638-2d82b0da6c61,80,Male,Property,154131.17,3,1,1792.99,5530.89,High
d29d2818-6f1f-4814-986d-2fb51d248ffc,41,Other,Life,47106.22,10,1,839.91,1026.38,High
c2a8778f-a5d6-463a-b4d6-4151b820ff2d,37,Other,Health,161750.39,6,0,1539.8,5239.45,High
6995dbf7-46a4-4a49-9f81-99f30ac3f244,39,Female,Auto,62803.21,5,0,1391.0,6999.7,Medium
5442a978-d5e4-4c06-a988-42cd911ab783,48,Other,Auto,78851.7,1,0,2275.05,4130.7,Medium
a78a1f80-f842-4c16-8727-4e5aa7047d4d,55,Female,Health,169414.53,5,1,2910.68,6804.22,High
74c5d048-1a8e-423e-b404-d78894f50fe5,46,Other,Auto,91858.46,4,0,2628.24,7893.87,Medium
f8008809-d049-40d0-95ee-c3d40579e1fc,44,Other,Life,50373.72,9,0,3972.65,4825.78,Medium
2160eb52-fc8d-4daa-a54e-39d123c8f570,23,Male,Property,112013.81,10,0,4073.26,6407.15,Low
2c3dcab0-3097-4b84-b37f-f4862249860e,76,Female,Health,153318.08,8,0,3363.1,9970.55,Low
025a089f-35eb-4101-8897-8f8686b486b7,56,Female,Auto,30795.26,9,0,2038.78,6675.9,Medium
23be7dc3-17a7-40a1-bcd4-88fa4e411202,44,Other,Life,189404.31,6,0,3609.17,9753.61,Medium
075bc20e-6032-4c36-b415-eafcf2e9cec8,28,Female,Property,21263.52,1,0,2723.96,4516.27,Medium
d21673ba-cfd2-4708-ad6f-828036c30d23,33,Female,Life,21491.62,5,0,1550.43,1067.0,Medium
102bb153-d202-4f5c-80e3-c60721b91813,68,Female,Life,157456.27,4,0,4219.53,9878.4,Low
b24351e1-8584-497f-a41a-1d607349e75b,65,Male,Property,187376.54,4,1,3047.7,817.0,Medium
9afe695b-23f0-4d13-b711-77806d727a2c,71,Other,Health,190530.65,2,1,794.09,8498.92,Medium
66ef38e9-680b-4657-9adf-e875bee7f5bd,33,Other,Property,45020.85,6,0,2166.61,8473.01,Low
497daf46-533b-49b6-8d54-5e6c4596873d,72,Male,Property,50712.52,6,1,4829.93,6664.93,Low
029389ea-d33f-469c-a256-6778f8d94269,22,Other,Property,138838.18,1,0,2007.31,5475.91,Medium
c3303021-619d-46fd-88c2-f6b514c2e1ce,54,Other,Health,116397.32,1,1,1390.77,6703.17,Low
1dba35ea-7d1a-430c-be14-8a19fa65b7a9,75,Female,Health,130363.64,0,1,2328.51,9913.93,Low
13875cc8-af27-42cf-9046-32845bd9c56d,79,Female,Auto,65933.3,1,0,3873.83,5684.51,Medium
cdb569c6-69f7-4bdf-8ad0-a7b93bcdd173,31,Male,Property,60313.55,1,0,1855.14,2346.28,High
32a2f62c-e5ef-4ba1-a414-f7857c1b435a,46,Female,Property,75407.61,7,1,3948.38,1300.27,Low
8e1e4c4a-35b3-4f00-9366-b388d7457600,71,Male,Life,81657.07,2,1,4493.62,5793.32,High
cdb73af7-5080-4af7-a167-5a240f27947c,80,Male,Property,138320.78,5,1,2685.77,8373.48,Low
ad729ef6-df85-49e0-ac70-ce63e067b599,31,Other,Property,94814.27,10,1,2567.97,8096.94,Medium
f5b03098-9a06-49a6-8676-d5badfe6800f,68,Other,Life,87790.06,2,1,633.76,1443.02,Medium
450d48fc-fd07-40d9-8150-d448b08deaf0,73,Female,Health,190546.06,5,0,510.35,6734.37,Medium
e5346188-cd37-4e98-9677-4f97b6ca7f56,56,Male,Property,24161.75,3,0,4457.88,602.0,Low
3b2c71ab-a043-4eb8-853f-9849cdf4c88d,55,Female,Property,39880.89,4,0,1908.37,3933.58,High
8b6aa698-4c4e-49c4-9513-ee7013ecf739,53,Male,Health,174949.66,5,0,761.38,3249.08,High
7b09857f-e3be-4965-9bb0-8518e439c17a,50,Other,Auto,131143.04,0,1,2238.86,4154.42,High
78959d9f-ce16-43e2-b7ae-9ddb604e4a06,42,Female,Health,182716.15,2,1,2335.67,9783.43,High
ada62e9e-a7a7-4879-a575-823e8c4f6351,37,Female,Auto,45476.66,2,0,2596.34,8851.28,High
6229b31d-ccdd-4480-a72a-9c1c25968fe6,38,Male,Property,52917.19,9,1,1654.37,3631.75,High
1d2d3b69-f978-49be-9881-9fa37e5fcabf,37,Other,Health,183584.67,1,1,3287.59,1407.78,High
f184e22e-7f6b-4aa2-99a1-b1360f00bb13,76,Other,Auto,28406.97,10,1,3828.6,7628.6,Low
ad44446c-dc93-4dec-835d-35e0bef731e2,49,Female,Health,179537.69,3,1,1304.08,6475.07,Medium
69fc8845-359d-41ad-832b-f546b4c506b5,66,Male,Property,87010.37,6,0,3041.53,4456.92,Low
b7b1b6e5-b585-4421-896c-a13e6756b770,38,Female,Property,75700.65,1,1,2788.95,7531.89,Medium
d56ac823-b820-4f53-87b7-f809f7946f75,71,Male,Health,162276.31,0,1,755.98,7941.91,Low
32a6824b-fa55-46f8-becc-946adbf642a2,60,Female,Property,104193.78,1,0,3775.59,1556.72,High
77ea3525-dd20-452c-89ea-3db63095eaaf,61,Other,Health,183089.75,6,0,2008.71,1368.76,Medium
28686c90-9b6e-4560-9c5b-4ad483181c84,25,Other,Life,32766.83,5,1,3075.73,1327.43,Low
666873d8-eab9-431a-ad1f-d312ca79ad11,76,Female,Property,132058.54,5,1,1788.97,2996.8,Medium
a2320969-33d5-4845-a1e9-a65d54efaf11,49,Male,Auto,66036.85,4,0,1434.71,2333.13,Medium
ec2e798a-47f5-48b4-874c-ed02f86c88f2,51,Female,Health,97749.57,3,0,1881.08,5670.47,Medium
28fd75ac-a82f-4584-a128-8a4a25e8a1b1,66,Female,Health,27846.09,8,1,2370.42,4883.39,High
cc2d8d68-4192-4957-9d48-ee6295995e56,27,Female,Auto,158762.26,7,0,3247.09,3134.19,Low
71a68efa-2c1e-4b9f-8950-5e7a47051a4b,67,Female,Property,106602.65,2,0,4735.46,7272.48,High
9658833c-436a-4f15-b599-f1cd3045ded1,30,Other,Auto,190605.17,2,0,2131.03,2279.16,Low
c19e4479-19c5-4fd9-bfed-063d49c5176b,66,Other,Life,185573.54,8,1,3951.42,8520.07,High
17d7c569-d598-45e7-863a-f21f70dc4bf0,78,Female,Life,107941.44,8,0,1756.87,2633.61,Medium
8f64e769-762c-4e4d-9a22-b5ca40bbac77,54,Other,Life,49039.23,6,1,1831.35,1168.36,High
1230e53f-5919-4507-b66d-6e3eabb5b5d9,41,Female,Life,104629.38,6,1,2573.23,9503.98,Medium
c71bea62-d328-4969-bdcb-1591bc6f2d32,69,Other,Life,96406.61,2,1,1108.4,9781.89,Low
219fa971-003a-40f8-8067-600c9885f22a,49,Male,Property,118485.4,8,1,3899.92,6142.13,Medium
93c03a7b-d9d0-4ea7-972e-c611cc996f1c,75,Male,Property,167481.43,9,0,4799.48,9056.56,Low
ef03c2f3-e2fa-4bc9-97f7-f5813a5a8e2c,37,Male,Life,144710.39,3,1,852.69,6695.42,Low
6d9f51ff-9edc-476a-8212-175f07524065,63,Male,Health,45996.54,1,0,1269.29,534.78,Low
65760c8b-56d4-4ad0-aba6-9de272a84e23,35,Female,Auto,79238.44,4,1,1516.34,7199.71,Low
a68e10f2-47d8-40a0-91ff-8e5ecb8d1199,22,Female,Property,115009.15,3,0,4465.54,3856.51,Medium
a74821ec-dd4e-4cf9-b471-52d52cf2098b,50,Female,Life,81187.91,9,1,3987.02,2046.36,High
f702cbce-2cac-4a7f-8b96-0e58f12de236,72,Male,Health,124178.06,4,0,1411.83,4001.9,Low
78ecf35f-714e-4c9c-8345-080a4aa1911d,43,Other,Auto,164555.95,2,1,4240.18,1921.63,Medium
9945da58-1029-49e1-805e-00f261d0b737,54,Female,Property,116558.75,4,1,2016.45,6080.43,Low
5abc7f24-9f26-435d-a5c6-bc10a6aa1211,69,Female,Property,35836.04,7,0,1838.4,9509.25,Medium
755ba698-25e5-4147-8735-4fff3929a237,40,Other,Life,95056.73,0,0,3102.23,5894.57,High
b2ebad86-1e04-484e-b071-38de972560ee,63,Male,Auto,28511.12,9,1,2517.69,8273.22,Medium
d5537e9c-9363-4445-a74f-bb4149f78585,37,Other,Health,186675.0,0,1,4222.08,8881.89,Low
a8f845ff-29f9-4201-84c1-59343fb87b4a,20,Female,Life,102458.53,10,0,1942.61,4242.53,High
23a03daa-f733-47ff-9083-1e9b87f4b41a,49,Other,Auto,29530.65,9,0,3052.1,359.75,Low
f389b5e6-4b86-429f-8016-6356123d87ba,55,Female,Auto,142593.22,4,1,3569.32,7961.62,Low
b0d45c8f-335f-4031-9c4f-859903b5a284,50,Other,Property,135010.15,0,1,1577.78,1747.26,Low
b16ae690-4711-4dc6-9e36-10106814858e,74,Other,Auto,145313.48,7,0,4271.33,6749.54,Low
04574140-b8ce-4698-8845-6d214be8b25a,61,Male,Auto,111880.45,2,0,3954.68,588.25,High
d7f21297-6339-4449-83f4-137684c4c5a2,39,Male,Auto,59688.47,0,0,1772.35,7762.21,Medium
2799b9ef-31ef-4a23-b0d1-bac2adc8c2b8,79,Male,Auto,50643.77,10,0,4426.33,4896.89,High
207c8fef-5c5b-42d2-bdc0-cccf2599a8c5,25,Female,Property,99976.84,10,1,1315.69,2987.41,High
bd8dc565-7c2e-4201-b7ca-d06a725c2e06,75,Female,Life,78656.95,0,0,3940.45,2007.13,Low
a0405b1d-0d1f-4c22-a0ef-96bf2394d83a,29,Male,Auto,116905.94,4,0,4101.62,8910.84,High
e5bc06e5-3e3b-4b2e-bde8-121a0e690044,69,Male,Auto,53294.38,2,0,2937.65,2251.67,Medium
4e73417b-189c-4d8a-b7f1-0b3a737b8e52,58,Other,Life,162940.7,9,0,3626.8,4385.47,Medium
568a0748-68c4-4d53-9439-cd5b263443a5,33,Male,Health,149489.15,8,1,3176.65,6955.83,Medium
4dfa3b56-4917-4d02-aeb0-6ad3d08c8898,62,Female,Health,49776.18,6,1,3709.83,2108.01,High
ae5dcb2c-f753-484d-ab1c-4a7400378eed,47,Other,Auto,48897.99,5,0,4329.69,8669.18,High
cc2faa02-d079-4fc4-8497-8dd8e41e0687,78,Female,Life,22592.99,10,0,1282.39,2790.36,Medium
d6c0ed8f-c0ea-4584-a6ca-ec041cf4a6b1,52,Other,Auto,79867.22,0,0,1031.63,8568.34,Medium
1eb9bc57-139b-4f47-9e90-c94adc5fc8c0,46,Male,Property,179542.74,9,0,4630.35,4182.82,Low
1cdc48a6-2f48-4d2e-bf67-8cf07b0fb3a4,45,Other,Health,195865.75,2,0,3235.84,7331.44,Medium
395f6d0d-1c5f-4e33-b412-9447db938f8f,51,Female,Property,41111.79,1,0,2333.52,168.99,Medium
aa4db4c7-85de-4639-b6a5-0e2fe3b4a7a6,48,Female,Auto,190523.59,7,0,3503.63,8899.98,Medium
6dd03ba6-ce54-4d5a-b1b7-53072b3d008e,27,Other,Health,182036.02,8,0,3873.22,5583.43,Low
0ba8113d-ff41-4b35-b448-187febf11449,37,Female,Life,56505.54,0,1,607.22,2359.21,Medium
a755d0a6-847c-45ea-8511-63e79f4d1b13,21,Female,Auto,157335.28,4,0,1374.75,9019.6,Medium
79add9af-70ff-427b-9dc3-30eb65bbadde,79,Female,Life,80526.95,7,1,1612.15,7068.17,High
276ca4e5-5920-47a8-83a1-2240ba88ea31,72,Other,Property,192977.25,6,1,4390.29,697.54,High
44f646ba-9527-47bc-8d72-b0e727cb8435,41,Other,Health,117260.13,3,0,531.94,7995.43,Medium
9b036527-841d-4444-8c38-04385049db0a,58,Female,Health,112424.32,0,1,2824.9,5648.27,High
add115ad-518c-46bd-b699-92c509107b51,59,Other,Property,77674.89,8,1,2350.13,2911.43,Low
0c65eb4b-7747-496f-9981-68e2002c395e,21,Female,Auto,72375.77,3,1,4542.81,3081.75,High
5828f46f-d6c4-4a24-a6fb-ee1ee89092ec,49,Female,Property,137376.49,7,0,4794.74,179.85,Medium
6eac9054-2887-4183-b6a6-c964b1f83d24,37,Male,Health,132182.06,3,1,3791.62,6567.07,Medium
8b1dd09d-c7b7-48b3-a4df-09e1a4880cdb,23,Other,Life,105491.92,3,1,1896.97,7647.02,High
ae969d92-2576-4177-b18c-c7ff2738972b,42,Male,Life,157491.38,0,1,2192.44,5477.28,High
ef316aa4-3eab-4ba6-9c58-00d6017e54d5,63,Female,Health,23649.94,6,0,4848.6,9950.18,High
860d9eec-5340-4a7b-8f1d-c78bcf65bb26,44,Other,Property,69389.33,9,0,1050.23,7248.42,Low
93d145e7-dc58-419b-82ea-df3072635f6d,61,Female,Health,146204.6,9,1,926.45,4731.51,High
e570f270-55d0-4adf-832f-0a3272815a57,64,Female,Auto,193047.98,9,1,4515.21,8955.08,Low
e09a3856-4b84-4891-901c-5629a1f5e182,31,Male,Life,127647.7,7,1,822.29,1586.5,High
cbf05ef4-a36e-4b7e-b981-87f30f49402d,78,Male,Life,41520.65,9,1,4093.2,3362.01,High
cc934975-41a8-408c-9d97-448b9b916d94,66,Other,Property,79443.61,0,0,2985.95,4236.91,Medium
7d6cbb7c-a2dd-4196-af50-cd451d8e57cf,66,Male,Property,104978.5,3,1,1693.55,3508.73,Medium
0d662ca5-20f3-46d5-8a86-0dbcb7f9f8dc,31,Female,Health,123145.18,3,0,718.09,3410.11,Medium
ea6758ed-7e6d-4859-98e6-d1131bf8edbf,35,Female,Auto,197374.92,8,1,657.01,3812.42,Medium
bfd94b25-404c-492a-933e-7191ed1bdd96,41,Male,Property,109213.6,10,0,3409.93,6963.07,High
d7ebad04-ad7d-4b78-aa00-a614145ae660,18,Female,Health,127328.35,3,1,1856.05,1367.89,Low
33d1b5c9-65cf-4ce9-81e8-218066687974,74,Female,Health,39440.48,7,0,2708.69,491.08,High
f3da35d9-82ea-4533-b344-c60d4ab3ce64,67,Male,Auto,132830.68,3,0,1802.44,468.72,Low
f783766a-df7d-48c3-b527-f2c99bb911e7,75,Female,Life,150891.97,3,0,4872.04,1483.74,Low
b086c637-0ce9-47b3-873a-92736fd2920d,58,Male,Property,30479.83,4,0,2285.76,7547.59,High
5e5a70aa-23f4-48c9-a621-365f5c6aab0b,54,Female,Property,151814.11,0,0,4150.61,1569.97,Medium
1095d0f9-80d1-4a4c-8f13-148d1ec5ca3e,79,Male,Property,129292.5,8,1,1583.65,3983.85,Low
2f909564-62db-46ee-8551-501bc72e7098,19,Other,Auto,105390.07,4,0,2649.33,8255.73,High
c12db82f-5f72-4b7f-832a-0472c4fdee30,36,Male,Life,76316.71,3,1,2483.75,4348.29,High
9adcfa9f-1e78-4321-beb9-1c06750e5451,44,Other,Health,189276.6,1,1,707.68,6379.16,Low
f45eb6a0-cd7f-413a-b30a-be1fea7c5499,65,Other,Health,158764.84,1,1,4445.33,1554.97,High
4c887d5c-85a2-48ad-a366-28738fe216c1,43,Female,Auto,172980.87,0,0,3728.86,6412.65,High
b5f7bfd2-35f7-45ec-a5fd-e4775a40a841,54,Male,Life,182803.24,9,1,3682.08,6318.81,High
2485c3ac-97e1-4862-a436-5e5405793684,27,Male,Health,64637.09,3,0,2124.61,2988.25,Medium
a17f2934-2b5a-4074-972c-9f6a6139e70a,62,Female,Health,178676.85,6,0,3423.72,985.06,Low
35460cbc-a0f0-4917-94fa-720dc85b7bc9,26,Other,Health,182518.1,4,0,1395.87,5326.66,Medium
fb8dc40a-7781-4bfb-b0cc-5397cb36434e,57,Female,Health,141244.45,4,1,2939.85,2799.11,Medium
62e94462-80bd-4016-b549-2026286a59d2,46,Male,Auto,102136.44,4,1,4518.21,7003.09,High
c9b0b0ea-3003-4b47-b696-969466bda83a,25,Other,Health,61926.16,5,0,4910.23,1987.56,High
a18b76aa-8b42-4437-b099-146c92162839,24,Other,Auto,182577.21,0,0,1216.79,1926.66,High
fa4fa40a-370d-4c35-b14a-486a81751e83,38,Female,Health,152526.33,7,1,3758.07,8258.55,Low
9b71d9a3-c875-484a-8083-7047dedcf097,55,Female,Life,88741.03,5,1,3212.05,5157.34,Medium
3cc718ab-a43e-40e3-b0d1-1235943a8651,80,Female,Auto,48367.9,4,1,3774.06,4738.05,Medium
e5a96b38-f1a3-4a60-9b1b-cbcfef9b1cfb,19,Female,Auto,112030.48,8,1,4159.78,405.73,Low
1716cf37-fabe-4839-9c3d-53ce008f2798,42,Male,Life,188681.86,0,0,2019.91,8844.7,High
2e517440-94de-4bcf-992f-d380a9aaa66c,36,Male,Auto,188915.93,3,0,1208.51,4768.94,High
9257e171-9bf0-4d30-b702-de83b1cb4885,72,Female,Health,40956.51,2,0,4153.99,5564.49,Medium
e9392ac6-b7c7-48d0-a511-cc999354785c,70,Female,Property,78848.78,3,0,2985.97,9751.03,High
d53d5367-43a3-45bc-a888-b121b7a02e62,29,Male,Health,68250.73,7,0,4991.38,5713.98,High
d8ebef16-8e7f-4f65-97b2-da5877aa39e8,50,Female,Property,131577.84,7,0,721.41,7059.41,Medium
5fa98e9c-fde1-4b4e-b774-4c4ca26402f3,53,Male,Property,80139.79,8,0,753.15,6967.13,High
d372d23a-e9f8-4696-8c9d-599c2532c4f7,57,Male,Health,109800.62,8,0,3703.36,3868.57,High
b927546a-d741-4b07-a88d-e50502cac858,26,Other,Life,140428.17,10,1,2862.47,7648.13,Medium
5ab1e165-ce86-40dd-9c84-941fe8b39ed9,25,Other,Property,76556.59,7,0,4885.9,6601.45,Medium
e1076d4b-72a5-427c-8652-b4ce4e08a172,19,Male,Auto,90193.98,5,1,1901.55,7280.45,Low
f2c26b65-5095-4ffa-b2d7-aff9d68fdede,78,Male,Auto,105650.99,7,0,3136.02,4555.02,Medium
592999e9-a1aa-4981-b138-b58941d5d74b,35,Female,Auto,38157.76,3,1,4906.91,5697.74,Medium
336b94f6-68bd-43e8-b896-d5a4131fa85c,72,Male,Auto,61996.09,3,0,4176.67,6652.51,Medium
344b5e59-5e5f-4bf0-911f-4c779d67b5e4,80,Female,Life,129932.9,7,1,1082.44,3441.41,Low
1bbeab61-9db5-425c-9866-ce7393e22bd0,29,Female,Life,67248.59,10,0,2695.08,749.67,Low
93c0d8df-8613-40c6-8623-28782e619bc9,57,Male,Life,120880.87,7,0,4612.92,6722.1,Low
dc94874f-e174-410f-b437-cc43db379386,30,Male,Property,104727.61,0,1,3074.12,4863.8,Low
9ecce8e6-26a3-4df9-abee-d9584cd31c4a,75,Other,Property,34098.26,5,0,1317.99,3450.46,High
17535408-fba1-46a6-a4e0-bf50a15cfada,28,Female,Property,160200.15,9,1,1326.06,5079.36,Low
3dc44945-a6c6-445e-9e7d-29cf4358984d,30,Female,Auto,159811.15,9,1,1864.89,546.84,High
d34fab51-e739-41f4-8502-d38bd13d600d,63,Other,Life,144764.1,1,1,2406.55,2351.29,Medium
e4c986ca-6c66-4e3d-9ced-aa33210f0f42,45,Male,Property,39469.81,7,0,1420.64,4813.04,Low
5b55422d-324e-4ee3-b08b-b919859bf00f,18,Female,Health,92995.69,7,0,3199.43,8160.32,High
f7d59f4b-3ef9-4fa0-a8ec-2b020ef4a76f,49,Female,Health,46965.15,9,0,3147.07,650.05,Low
e26ac195-8a36-4a37-b0ab-d925ad9beef1,73,Female,Property,169433.45,3,0,2329.96,9617.55,High
a85b3829-debb-4232-a049-64ffea02d712,74,Female,Property,158416.48,3,1,1911.4,1110.14,Medium
bcc70476-28a9-4d34-8912-fe9f4ef83a00,49,Male,Health,23866.48,7,1,609.05,6772.43,Low
d838db26-59ad-479f-9e1e-378fb20bb9b3,72,Male,Property,131105.06,5,1,2713.93,3303.26,Medium
9f434b03-3d54-4cc3-91cf-19949594e847,72,Female,Property,66698.63,9,1,3175.33,8906.52,Low
c23037cf-c22d-44cc-acdd-dba030824a56,75,Male,Property,50589.84,2,1,2055.9,5780.21,Low
c37c8923-1243-4784-89f7-0ed5f9d4dbf7,58,Female,Health,131623.58,1,0,3473.28,9932.46,High
90e699e9-dac6-4de7-add8-adba6205f24a,67,Female,Auto,152351.14,0,1,2070.88,4251.86,Low
bdcc0062-80d6-48a5-b5a9-45ed4090c206,39,Female,Life,122156.91,9,0,2271.75,5586.68,Medium
c7af65bb-4d68-4351-9847-e04683879750,71,Male,Property,166397.27,9,0,4485.66,2288.28,Low
bf9e60aa-1b29-42ee-902a-626fcac432ea,40,Male,Life,165612.5,9,1,4267.72,6769.78,Medium
bca1fc58-ebc2-452e-80a2-377e463e254c,19,Female,Property,40957.33,0,1,4985.14,9860.95,Low
426fc2ed-69b1-40a6-9dc2-53a8996b9e21,56,Female,Auto,177673.61,6,0,3649.2,8829.76,Medium
74ccf05d-8c80-485e-81ef-35a27e215f1f,24,Other,Auto,111022.87,1,1,4306.75,9963.27,High
b330eb05-8ebe-449c-8bb9-58a09d1407e4,56,Female,Auto,76432.79,2,1,1493.81,5038.96,High
6ec3b736-fabd-4062-ad4b-3ae8d767d0e8,42,Female,Property,162963.72,10,0,2175.19,7205.71,Low
3d206021-fe44-45a0-ae92-9847f87705da,68,Female,Auto,81909.16,4,0,1141.16,3686.99,High
7b6e8774-993b-419c-b3a0-2e04d26b5ce1,65,Female,Health,136741.53,5,0,1995.77,733.8,Low
4e2e36c0-8d38-4caf-925a-ed3f04083998,45,Other,Auto,148242.85,0,0,1052.66,8670.94,High
f4235768-4ab6-44b8-a529-2e6ced879e4e,68,Male,Property,26604.16,8,1,4482.17,5023.84,Low
bdc711ca-60ec-486d-a44e-a2d6131e9985,30,Male,Life,118648.82,7,0,2179.69,9172.79,High
388dc514-0547-4c34-a911-f7750b9f106d,39,Other,Property,150234.79,9,1,3247.96,6404.35,Low
fff17a69-5263-4024-9eea-d8145876550f,80,Male,Property,157866.46,4,1,4725.49,1328.49,High
fc5e2b7c-c7c7-4808-aea5-6638e081330b,61,Other,Health,82432.64,1,0,4234.21,2511.3,Medium
2f691b93-50bb-41fc-a179-5fc4cc931cb8,54,Male,Auto,164843.46,3,1,1269.59,4871.65,High
05bdc727-d02d-4d91-b321-e7a3009eef71,49,Male,Life,33322.73,0,1,4013.59,4523.95,Low
fe47aecd-b3f3-4da2-be9f-3b109d0bfd3b,57,Female,Auto,100604.09,2,0,4593.75,5762.85,High
3d465e29-c622-41a7-a9d4-6767992c902e,28,Male,Health,87043.85,4,1,557.97,7956.44,Low
d212d22f-3f75-4ad3-91e6-40ebc1b9830d,34,Other,Auto,117776.5,4,0,2270.3,2109.65,High
a91ad70b-457c-4ef4-99f9-baccb4081bea,30,Male,Auto,79342.5,9,0,3157.02,5855.82,High
afead4e6-8125-4a17-b479-051b495604a6,38,Female,Auto,75112.47,10,1,709.9,6438.76,High
69b13238-5525-40ae-ac68-3c361a43666b,73,Other,Health,180675.65,0,1,1670.76,1736.23,Medium
873fab45-d49f-4024-bc28-e9a30e5566f8,71,Other,Auto,37993.29,10,1,522.69,869.11,Medium
0b92bdfb-9143-4a2b-b44f-5bd903f67e99,30,Other,Life,130578.12,7,1,748.78,2311.02,Low
1223d606-1903-4061-982c-ed93305aec7d,64,Other,Property,132225.25,2,0,3891.34,541.19,High
023dd690-1957-437c-a1b4-3496a93906f9,25,Female,Health,150483.38,8,1,2660.32,9481.73,Low
770bafbd-7685-423b-8965-81551398b47f,41,Male,Auto,66938.04,5,1,2726.25,3876.19,Low
f2da5279-6944-427d-a228-d5dd0c02ae9c,67,Female,Auto,51566.14,5,1,2016.12,9544.48,Low
ac77c277-f5a1-4f17-b0ba-0b56c3c81863,54,Other,Auto,138569.27,4,0,1243.5,296.66,Low
903a09a1-3716-4cd2-bef7-230cc70f7be0,40,Other,Life,109707.39,7,0,892.56,1057.11,Medium
ef994673-5030-43a6-b35d-9305ac7ed3ae,60,Male,Life,56186.24,2,1,4886.45,5229.55,Medium
6639b83a-5cc5-4b2d-9fe8-8aa13685bd43,39,Male,Health,163136.55,1,0,4361.59,9901.85,High
29074e56-5b15-4c40-b1da-d33e2b48b7a2,40,Male,Health,145591.39,9,0,3928.18,2759.69,Low
2336259f-2bac-4870-b449-06cd57568b11,29,Female,Property,190209.26,6,1,4263.09,2925.2,Low
1a7dfdd7-4b9f-431c-8762-a519dec1b756,53,Other,Life,180643.52,3,1,3461.37,1851.73,High
57c02e19-d227-40bc-9abe-03c1e00ece59,44,Male,Auto,173543.64,2,0,2624.37,6034.03,Low
b3573c71-f045-4b88-b03e-cb30cc18fe87,21,Other,Health,154681.69,4,1,2941.19,9590.6,High
22ecef3e-629c-4022-a3da-cd7597d048d4,73,Male,Auto,113480.59,0,0,701.84,8690.3,Low
81cee9e5-9c4a-44b8-a995-8b8e93efcd2f,74,Female,Auto,158044.55,10,0,2917.45,856.7,Low
855997f9-94fb-450d-a4f4-8414a1eee142,23,Female,Health,144904.89,7,1,4417.18,7377.61,Low
